Season_year	Season_div	Date	OPP	Result	T Score	O Score	MIN	FG	FGM	FGA	FG%	3PT	3PTM	3PTA	3P%	FT	FTM	FTA	FT%	REB	AST	BLK	STL	PF	TO	PTS	Points Range
2014-2015	Post	Fri 5/15	MEM	W	108	95	39	11-25	11	25	44	8-13	8	13	61.5	2-2	2	2	100	6	10	0	0	3	4	32	30+ Points
2014-2015	Post	Sun 5/3	MEM	W	101	86	38	8-18	8	18	44.4	4-8	4	8	50	2-2	2	2	100	2	7	0	4	1	4	22	Under 30
2014-2015	Post	Mon 4/20	NOP	W	97	87	37	9-21	9	21	42.9	3-9	3	9	33.3	1-1	1	1	100	4	6	0	1	1	5	22	Under 30
2015-2016	Post	Sun 6/19	CLE	L	89	93	39	6-19	6	19	31.6	4-14	4	14	28.6	1-1	1	1	100	5	2	1	1	4	4	17	Under 30
2015-2016	Post	Mon 6/13	CLE	L	97	112	40	8-21	8	21	38.1	5-15	5	15	33.3	4-4	4	4	100	7	4	3	0	2	4	25	Under 30
2015-2016	Post	Wed 6/8	CLE	L	90	120	31	6-13	6	13	46.2	3-9	3	9	33.3	4-4	4	4	100	1	3	0	2	4	6	19	Under 30
2015-2016	Post	Mon 5/30	OKC	W	96	88	40	13-24	13	24	54.2	7-12	7	12	58.3	3-3	3	3	100	5	8	0	0	1	3	36	30+ Points
2015-2016	Post	Thu 5/26	OKC	W	120	111	37	9-20	9	20	45	3-8	3	8	37.5	10-10	10	10	100	7	6	0	5	0	5	31	30+ Points
2015-2016	Post	Wed 5/18	OKC	W	118	91	30	9-15	9	15	60	5-8	5	8	62.5	5-5	5	5	100	2	3	0	1	0	3	28	Under 30
2015-2016	Post	Mon 5/16	OKC	L	102	108	40	9-22	9	22	40.9	6-14	6	14	42.9	2-2	2	2	100	10	7	0	3	3	7	26	Under 30
2015-2016	Post	Wed 5/11	POR	W	125	121	37	10-20	10	20	50	5-11	5	11	45.5	4-4	4	4	100	5	11	0	1	2	4	29	Under 30
2015-2016	Post	Mon 5/9	POR	W	132	125	37	16-32	16	32	50	5-16	5	16	31.3	3-3	3	3	100	9	8	0	0	2	4	40	40+ Points
2015-2016	Post	Sun 4/24	HOU	W	121	94	19	2-9	2	9	22.2	1-7	1	7	14.3	1-1	1	1	100	0	5	0	1	0	5	6	Under 30
2015-2016	Post	Sat 4/16	HOU	W	104	78	20	8-13	8	13	61.5	5-7	5	7	71.4	3-3	3	3	100	7	2	0	3	0	4	24	Under 30
2016-2017	Post	Wed 6/7	CLE	W	118	113	39	8-19	8	19	42.1	5-9	5	9	55.6	5-5	5	5	100	13	6	0	2	3	1	26	Under 30
2016-2017	Post	Sun 6/4	CLE	W	132	113	36	7-17	7	17	41.2	4-11	4	11	36.4	14-14	14	14	100	10	11	0	1	3	8	32	30+ Points
2016-2017	Post	Mon 5/22	SAS	W	129	115	34	14-24	14	24	58.3	5-13	5	13	38.5	3-3	3	3	100	5	6	0	0	2	6	36	30+ Points
2016-2017	Post	Sat 5/20	SAS	W	120	108	34	8-15	8	15	53.3	3-7	3	7	42.9	2-2	2	2	100	5	3	0	6	3	5	21	Under 30
2016-2017	Post	Tue 5/16	SAS	W	136	100	31	8-13	8	13	61.5	6-9	6	9	66.7	7-7	7	7	100	7	7	0	3	3	2	29	Under 30
2016-2017	Post	Mon 5/8	UTA	W	121	95	35	9-15	9	15	60	4-10	4	10	40	8-8	8	8	100	5	7	1	0	2	2	30	30+ Points
2016-2017	Post	Thu 5/4	UTA	W	115	104	38	8-15	8	15	53.3	5-8	5	8	62.5	2-2	2	2	100	4	6	0	2	3	3	23	Under 30
2016-2017	Post	Tue 5/2	UTA	W	106	94	30	7-11	7	11	63.6	1-4	1	4	25	7-7	7	7	100	7	5	0	1	1	4	22	Under 30
2016-2017	Post	Sun 4/16	POR	W	121	109	36	9-19	9	19	47.4	3-8	3	8	37.5	8-8	8	8	100	5	4	1	1	5	5	29	Under 30
